objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Klay_001.jpg,,,Klay's Many Faces,Palicte Family,2021-12-06,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll002,Klay_002.jpg,,,Klay's Many Faces,Palicte Family,2021-12-07,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll003,Klay_003.jpg,,,Klay's Many Faces,Palicte Family,2021-12-08,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll004,Klay_004.jpg,,,Klay's Many Faces,Palicte Family,2021-12-09,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll005,Klay_005.jpg,,,Klay's Many Faces,Palicte Family,2021-12-10,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll006,Klay_006.jpg,,,Klay's Many Faces,Palicte Family,2021-12-11,Wacky photos of Klay,emotions; wacky,"UP Bliss, Quezon City",14.65374445,121.0566557,,,Image;StillImage,image/jpeg,eng,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,